"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,radar_integration,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
integration_warning,radar_integration,,descriptive,"This form is for integration of Redcap with the RADAR-Platform. 
********************************** WARNING **********************************
The fields here are not intended to be edited!",,,,,,,,,,,,,
subject_id,radar_integration,,text,"Participant ID",,"RADAR-platform (generated ID by Radar Platform)",,,,,,,,,,,"Integration Fields"
human_readable_id,radar_integration,,text,"Human Readable ID",,"Human Readable Field (generated by Radar Platform using a composition of [Project Name + Management Portal Project ID + Location + Redcap ID])",,,,,,,,,,,"Integration Fields"
surname,contact_info,,text,Surname,,Surname,,,,y,,,,,,,Surname
name,contact_info,,text,Name,,"First Name (name used on auto generated emails)",,,,y,,y,,,,,"First Name"
pref_name,contact_info,,text,"Preferred Name",,"Name preferred to be used (could be used on Survey auto generated email)",,,,y,,,,,,,"Preferred Name"
email,contact_info,,text,"Email Address",,"email used to distribute surveys to the participants",email,,,y,,y,,,,,
phone_number,contact_info,,text,"Phone Number",,,,,,y,,,,,,,"phone number for participant"
address,contact_info,,text,Address,,,,,,y,,,,,,,"address for participant"
best_contact_name,contact_info,,text,"Best Contact Name",,,,,,y,,,,,,,"Contact information for friend or family who we can contact if the participant becomes unreachable (moves house, etc)."
best_contact_phone,contact_info,,text,"Best Contact Phone Number",,,,,,y,,,,,,,"Contact phone number for best contact name"
dob,socio_demographics,"Participant ID: [subject_id]",text,"What is your date of birth?",,,date_dmy,,1999-10-15,,,y,,,,,
age,socio_demographics,,text,"What was your age at enrolment?",,,integer,18,,,,,,,,,
gender,socio_demographics,,radio,"Are you:","0, Male | 1, Female",,,,,,,,,,,,
gender_at_birth,socio_demographics,,radio,"What gender were you assigned at birth?","0, Male | 1, Female",,,,,,,,,,,,
marital_status,socio_demographics,,radio,"Are you:","0,Single|1,Cohabiting with your partner|2,Married and living with your husband/wife|3,Married and separated from your husband/wife|4,Divorced|5,Widowed",,,,,,,,,,,,
living_together,socio_demographics,,radio,"Are you living with someone in the household as a couple?","0,No|1,Yes",,,,,,,,,,,,
children,socio_demographics,,radio,"Do you have children?","0,No|1,Yes",,,,,,,,,,,,
